,SPY,AGG,GLD,risk_score
2021-10-01,0.6,0.05,0.35,0.6
2021-11-01,0.6,0.05,0.35,0.6
2021-12-01,0.6,0.05,0.35,0.6
2022-02-01,0.6,0.05,0.35,0.6
2022-03-01,0.6,0.05,0.35,0.6
2022-04-01,0.6,0.05,0.35,0.6
2022-06-01,0.35,0.05,0.6,0.35
2022-07-01,0.35,0.05,0.6,0.35
2022-08-01,0.05,0.3499999999999999,0.6,0.05
2022-09-01,0.05,0.35,0.6,0.05
2022-11-01,0.05,0.35,0.6,0.05
2022-12-01,0.05,0.35,0.6,0.05
2023-02-01,0.05,0.35,0.6,0.05
2023-03-01,0.05,0.35,0.6,0.05
2023-05-01,0.05,0.35,0.6,0.05
2023-06-01,0.05,0.35,0.6,0.05
2023-08-01,0.3499999999999999,0.05,0.6,0.3499999999999999
2023-09-01,0.3499999999999999,0.05,0.6,0.3499999999999999
2023-11-01,0.35,0.05,0.6,0.35
2023-12-01,0.35,0.05,0.6,0.35
2024-02-01,0.35,0.05,0.6,0.35
2024-03-01,0.35,0.05,0.6,0.35
2024-04-01,0.35,0.05,0.6,0.35
2024-05-01,0.35,0.05,0.6,0.35
2024-07-01,0.35,0.05,0.6,0.35
2024-08-01,0.3499999999999999,0.05,0.6,0.3499999999999999
2024-10-01,0.35,0.05,0.6,0.35
2024-11-01,0.35,0.05,0.6,0.35
